27	32391	
27	46900	14509
27	46914	14
27	57365	10451
27	57378	13
27	77787	20409
27	77799	12
27	87386	9587
27	87399	13
96	34448	-52951
96	40604	6156
96	40618	14
96	56015	15397
96	56028	13
96	71840	15812
96	71852	12
96	76595	4743
96	76608	13
131	14830	-61778
131	32548	17718
131	32562	14
131	66950	34388
131	66963	13
131	75272	8309
131	75284	12
131	85179	9895
131	85192	13
141	15937	-69255
141	23047	7110
141	23061	14
141	61601	38540
141	61614	13
141	69920	8306
141	69932	12
141	82006	12074
141	82019	13
193	6673	-75346
193	32812	26139
193	32826	14
193	55688	22862
193	55701	13
193	59483	3782
193	59495	12
193	84369	24874
193	84382	13
267	1911	-82471
267	33274	31363
267	33288	14
267	53710	20422
267	53723	13
267	78027	24304
267	78039	12
267	80668	2629
267	80681	13
276	7490	-73191
276	38714	31224
276	38728	14
276	65307	26579
276	65320	13
276	80741	15421
276	80753	12
276	87080	6327
276	87093	13
325	7676	-79417
325	16118	8442
325	16132	14
325	39090	22958
325	39103	13
325	43508	4405
325	43520	12
325	45863	2343
325	45876	13
417	25399	-20477
417	40036	14637
417	40050	14
417	43354	3304
417	43367	13
417	76727	33360
417	76739	12
417	91121	14382
417	91134	13
426	7418	-83716
426	15985	8567
426	15999	14
426	35623	19624
426	35636	13
426	52465	16829
426	52477	12
426	89478	37001
426	89491	13
446	30437	-59054
446	53012	22575
446	53026	14
446	63442	10416
446	63455	13
446	70421	6966
446	70433	12
446	73969	3536
446	73982	13
451	2770	-71212
451	10299	7529
451	10313	14
451	11947	1634
451	11960	13
451	17641	5681
451	17653	12
451	65057	47404
451	65070	13
491	37234	-27836
491	57954	20720
491	57968	14
491	63657	5689
491	63670	13
491	77418	13748
491	77430	12
491	80882	3452
491	80895	13
636	2228	-78667
636	39584	37356
636	39598	14
636	58645	19047
636	58658	13
636	67623	8965
636	67635	12
636	79499	11864
636	79512	13
680	16670	-62842
680	56890	40220
680	56904	14
680	57414	510
680	57427	13
680	78358	20931
680	78370	12
680	87325	8955
680	87338	13
693	9238	-78100
693	41731	32493
693	41745	14
693	47508	5763
693	47521	13
693	81861	34340
693	81873	12
693	88511	6638
693	88524	13
766	16351	-72173
766	27933	11582
766	27947	14
766	59166	31219
766	59179	13
766	67679	8500
766	67691	12
766	77469	9778
766	77482	13
830	21934	-55548
830	39551	17617
830	39565	14
830	70863	31298
830	70876	13
830	71758	882
830	71770	12
830	76334	4564
830	76347	13
848	1983	-74364
848	27146	25163
848	27160	14
848	61884	34724
848	61897	13
848	65879	3982
848	65891	12
848	69075	3184
848	69088	13
865	34616	-34472
865	34821	205
865	34835	14
865	35296	461
